"county_fips","county_name","crime_rate_per_100000","CPOPARST","CPOPCRIM","AG_ARRST","AG_OFF","COVIND","INDEX","MODINDX","MURDER","RAPE","ROBBERY","AGASSLT","BURGLRY","LARCENY","MVTHEFT","ARSON","population"
29510,"St. Louis city, MO",1791.995377,318667,318667,15,15,100,5706,22329,119,200,1778,3609,4995,13791,3543,464,318416
5035,"Crittenden County, AR",1754.914968,50717,50717,4,4,100,873,3424,8,38,165,662,1482,1753,189,28,49746
17003,"Alexander County, IL",1664.700485,8040,8040,2,2,100,127,278,1,2,5,119,82,184,12,2,7629
48261,"Kenedy County, TX",1456.31068,444,444,1,1,100,6,13,0,3,1,2,5,4,4,0,412
22031,"De Soto Parish, LA",1447.40243,26971,26971,3,3,100,392,703,3,4,17,368,149,494,60,0,27083
24510,"Baltimore city, MD",1419.537569,625474,625474,9,9,100,8831,29868,216,317,3638,4660,7804,18055,4009,251,622104
47157,"Shelby County, TN",1315.003752,942807,942807,15,14,100,12354,47864,135,483,3512,8224,14011,30620,3233,435,939465
45069,"Marlboro County, SC",1253.437132,28780,28780,9,8,100,351,1549,3,20,32,296,408,1074,67,5,28003
32029,"Storey County, NV",1217.656012,3947,3947,1,1,100,48,86,0,7,2,39,23,55,8,2,3942
11001,"District of Columbia, DC",1216.801325,632323,632323,2,1,100,7866,30757,88,236,4037,3505,3519,23575,3663,51,646449
45033,"Dillon County, SC",1165.583272,32060,32060,9,8,100,364,1906,8,17,48,291,595,1206,105,12,31229
29201,"Scott County, MO",1163.145839,40941,40941,7,8,100,457,1277,2,7,26,422,236,1002,39,8,39290
42101,"Philadelphia County, PA",1150.29633,1538957,1538957,6,5,100,17866,57000,332,881,7984,8669,12004,38595,6401,0,1553165
32027,"Pershing County, NV",1148.756725,6822,6822,2,2,100,79,75,0,3,1,75,27,43,5,0,6877
45047,"Greenwood County, SC",1140.226324,71009,70499,10,8,100,795,3651,7,39,73,676,965,2564,122,12,69723
47113,"Madison County, TN",1138.42383,98988,99067,4,5,100,1124,4084,13,33,196,882,1300,2604,180,27,98733
47037,"Davidson County, TN",1129.513728,635244,635244,10,10,100,7439,27666,65,312,1753,5309,5875,20373,1418,100,658602
18097,"Marion County, IN",1083.508119,911521,867596,11,9,100,10058,49004,102,453,3486,6017,15125,29122,4757,414,928281
26163,"Wayne County, MI",1065.188284,1800769,1793982,47,47,99.6046,18910,69839,433,803,5879,11795,19882,34706,15251,766,1775273
26163,"Wayne County, MI",1065.188284,1800769,1793982,47,47,99.6046,18910,69839,433,803,5879,11795,19882,34706,15251,766,1775273
29095,"Jackson County, MO",1026.623686,839561,837636,19,23,100,6981,40642,116,358,1913,4594,9695,25994,4953,318,679996
29155,"Pemiscot County, MO",998.7095326,18208,18208,7,7,100,178,678,0,6,21,151,192,463,23,2,17823
22047,"Iberville Parish, LA",974.0162436,33427,31544,4,3,100,325,1220,5,9,26,285,266,928,26,0,33367
5119,"Pulaski County, AR",959.9165823,387762,387762,11,11,100,3756,26881,61,179,1058,2458,7065,18011,1805,130,391284
5069,"Jefferson County, AR",959.1343198,76535,76535,5,5,100,702,3960,14,42,139,507,1400,2306,255,44,73191
5091,"Miller County, AR",956.1771347,43925,43925,2,2,100,415,2215,1,9,45,360,488,1597,130,6,43402
40101,"Muskogee County, OK",954.4400666,71462,71440,6,6,100,671,2344,3,34,41,593,878,1324,142,23,70303
45011,"Barnwell County, SC",953.9310095,22571,22571,9,7,100,211,1114,5,4,33,169,349,691,74,10,22119
22105,"Tangipahoa Parish, LA",952.8593755,123296,123296,8,7,96.5846,1195,7162,11,64,185,935,2683,4262,218,1,125412
45067,"Marion County, SC",941.6313295,33158,33158,9,7,100,302,1923,8,12,51,231,771,1060,92,12,32072
13095,"Dougherty County, GA",930.4176661,95799,95799,10,6,100,865,5710,4,32,240,589,1600,3844,266,13,92969
