"restaurant_name","city","state","zip","lat","long"
"Village Inn Restaurant and Bakery","Clearwater","FL","33759",27.971165,-82.696938
"Atlantic No. 5","Louisville","KY","40202",38.25702035,-85.76001328
"Famous Dave's","Puyallup","WA","98373",47.154828,-122.303992
"The Feve","Oberlin","OH","44074",41.29082277,-82.21764028
"Quiznos","Pleasant Hill","CA","94523",37.94566339,-122.0619969
"Hobbit Cafe","Houston","TX","77098",29.7336,-95.4146
"Familia Pizza","Bridgeport","NY","13030",NA,NA
"Lalibela Ethiopian Cuisine","Nashville","TN","37211",36.11988,-86.718505
"Villa Pizza (closed)","Orfordville","WI","53576",42.635024,-89.2681673
"The Pita Pit","Oxford","MS","38655",34.36802,-89.51839
"P.f. Chang's China Bistro","Northbrook","IL","60062",42.151959,-87.821541
"Marco's Pizza","Indianapolis","IN","46220",39.869489,-86.146425
"King I","Boston","MA","02114",42.360313,-71.07081
"Pizza Pit","Delta","OH","43515",41.574067,-84.007303
"Mcforters","Omaha","NE","68131",41.257512,-95.96932
"Sonny's Real Pit Bar-b-q","Woodstock","GA","30189",NA,NA
"Milio's Sandwiches","Waite Park","MN","56387",45.553367,-94.222893
"Oven Fresh Pizza - Southwest - Berea","Berea","OH","44017",41.372713,-81.861268
"King Falafel Restaurant","New Haven","CT","06510",41.306473,-72.92925
"Taco Del Mar","Roy","UT","84067",41.161688,-112.02635
"A Votre Sante","Beverly Hills","CA","90212",34.063736,-118.39906
"Win Hing","Brooklyn","NY","11209",40.613661,-74.032944
"Michael's Catering","Moore","OK","73153",NA,NA
"Domino's","Rockport","ME","04856",44.187611,-69.080978
"Dockside Deli","Port Washington","WI","53074",43.38859854,-87.86843777
"Deagan's Kitchen & Bar","Lakewood","OH","44107",41.48528552,-81.8001169
"Kabab Grille","Richmond","VA","23235",37.5078,-77.61048
"Pongal","New York","NY","10016",40.742497,-73.982924
"Champion House Sushi","Ann Arbor","MI","48104",42.2786379,-83.748629
"Burger Hut El Dorado Hills","El Dorado Hills","CA","95762",38.710194,-121.08649
"Panda Bistro","Orlando","FL","32807",NA,NA
"Teany Cafe","New York City","NY","10002",40.72,-73.99
"Dog Den","Boca Raton","FL","33431",26.368259,-80.079496
"Juiceland - University of Texas - Austin","Austin","TX","78705",30.295368,-97.742054
"Organic Festival","Raleigh","NC","27616",35.864586,-78.57033
"Quantum Leap Restaurant","New York","NY","10012",40.729355,-73.99889
"Alive","San Francisco","CA","94123",37.800114,-122.43395
"","Cleburne","TX","76033",32.343822,-97.38574
"","Irvine","CA","92604",33.70622,-117.78608
"Maggie's Mercantile","Pittsburgh","PA","15213",40.439189,-79.95552
"Miami Subs","Homestead","FL","33034",25.291986,-80.610489
"Mcalister's Deli","Cypress","TX","77429",29.98436,-95.726364
"Laura and Tony's Kitchen","N Eastham","MA","02651",41.87687874,-69.986981
"On The Border Mexican Cafe","Fort Worth","TX","76137",32.857124,-97.311713
"Braum's Ice Cream & Dairy Stores","Richardson","TX","75080",32.977234,-96.73896
"Naked Lunch","Herndon","VA","20170",38.97007553,-77.37533744
"Labor Ready Inc","Falls Church","VA","22042",38.875165,-77.2009447
"Green Fusion","New York","NY","10011",40.73792,-73.996636
"Thyme Natural Market & Cafe, Thyme Natural Market Cafe","Kew Gardens","NY","11415",40.70884,-73.83047
"Salad and Go","Gilbert","AZ","85233",33.33222,-111.806915
"","Vashon","WA","98070",47.445293,-122.4605
"","Huntington Beach","CA","92647",33.71566,-117.99121
"Seed","New Orleans","LA","70130",29.94,-90.07
"La Salsa","Austin","TX","78748",30.134521,-97.797746
"","Tacoma","WA","98407",47.27108,-122.48888
"My Fit Foods","Houston","TX","77002",NA,NA
"Basil &berry (closed)","Los Angeles","CA","90035",34.0551574,-118.3870717
"Freesoulcaffe","Tustin","CA","92780",33.742073,-117.82253
"Mei's Asian Bistro","Arlington","VA","22201",NA,NA
"Pure Market Express","Chaska","MN","55318",44.78849,-93.60154
"Wheel of Life","Irvine","CA","92604",33.70622,-117.78608
"Taco Cabana","Grand Prairie","TX","75052",32.6759561,-97.0069343
"La La Bistro","Massapequa Park","NY","11762",40.67795,-73.4561
"Veggie Heaven","Denville","NJ","07834",40.89117917,-74.4750301
"Pho HOA","Chicago","IL","60640",NA,NA
"2 Girls &2 Pups Bake Shop (closed)","Brooklyn","NY","11206",40.7038325,-73.9410228
"Jamba Juice","Los Angeles","CA","90089",34.0200276,-118.2869327
"Taco Cabana","San Antonio","TX","78230",29.561407,-98.589474
"Mangia Gourmet","Gulfport","FL","33707",27.740406,-82.707436
"Verizon Wireless","New York","NY","10026",40.806047,-73.956346
"","Torrance","CA","90502",33.83081,-118.29023
"Highline","Seattle","WA","98102",47.620018,-122.3209
"Taco Cabana","San Antonio","TX","78217",29.534328,-98.450424
"Taco Cabana","Farmers Branch","TX","75234",32.9135849,-96.8731514
"Taco Cabana","Brownsville","TX","78526",25.970621,-97.513984
"Bliss Grand","Brooklyn","NY","11211",40.714718,-73.961358
"Liquiteria","New York","NY","10011",40.74045,-74.00202
"Melt Bar Grilled","Columbus","OH","43219",40.00031,-82.93268
"Quantum Leap Natural Foods","New York","NY","10003",40.7303,-73.98334
"","Matawan","NJ","07747",40.406914,-74.23399
"Hut-k Chaats","Ann Arbor","MI","48108",42.245075,-83.6996
"Chowpatty Chat Co","Houston","TX","77036",NA,NA
"New Happy Family Restaurant","Rosemead","CA","91770",NA,NA
"Taco Cabana","Houston","TX","77092",29.816671,-95.464829
"The Kathmandu","Salt Lake City","UT","84106",40.70257,-111.85171
"Taco Cabana","San Antonio","TX","78233",29.5465482,-98.3667046
"Addis Red Sea","Boston","MA","02116",42.344154,-71.07129
"Four Seasons","Brooklyn","NY","11226",40.650753,-73.95608
"Taste of The Goddess Cafe","Los Angeles","CA","90036",34.076432,-118.350776
"Lotus Cafe","Jackson","WY","83001",43.481014,-110.76371
"Vigan Express","Torrance","CA","90502",33.83081,-118.29023
"Get Fresh Cafe","Lancaster","CA","93534",34.67489,-118.15114
"On The Border","Humble","TX","77346",30.004982,-95.255855
"Flagler First Condominiums Inc","Miami","FL","33131",41.0448473,-71.9329669
"Burrito Fresco","Brockport","NY","14420",43.214825,-77.93847
"Toms Coffee Bar","Venice","CA","90291",33.9905837,-118.4667019
"Frullati Cafe","Dallas","TX","75243",32.936388,-96.749674
"On The Border Mexican Grill","Allen","TX","75013",33.102488,-96.67723
"Protein Bar","Arlington","VA","22203",38.8799728,-77.1139409
"The Seed","Lancaster","PA","17603",40.0391808,-76.3059926
"Organikiss Bistro Juice Bar","Highland Park","MI","48203",42.42881,-83.11274
"Green Erth Bistro","Jacksonville","FL","32207",30.310156,-81.65471
"Bourbon N' Toulouse","Lexington","KY","40502",38.02967,-84.49067
"Mooney's Mediterranean Cafe","Winston Salem","NC","27101",36.098427,-80.244896
"Port of Subs","Las Vegas","NV","89156",36.194185,-115.025484
"Flatbread Company","Portsmouth","NH","03801",43.075977,-70.76018
"Que Seraw Seraw","Burlingame","CA","94010",37.5845,-122.365
"Sababa Mediterranean Grill","Las Vegas","NV","89117",36.13113,-115.27895
"Sanchez Produce","Canyon Country","CA","91351",NA,NA
"Zen Fusion Restaurant Lounge","Delaware Water Gap","PA","18327",40.98348,-75.14137
"Pei Wei Asian Diner","Castle Hills","TX","78213",29.5196806,-98.517952
"Greenspace Cafe","Ferndale","MI","48220",42.46031719,-83.1365062
"Elderberries","Los Angeles","CA","90046",34.098034,-118.354256
"Real Mexicano","Miami","FL","33166",NA,NA
"Magic Carpet","Philadelphia","PA","19104",39.952759,-75.192776
"Daly Angkor","Bryn Mawr","PA","19010",40.022405,-75.319594
"Elite Frozen Yogurt","Parkland","FL","33067",26.3192783,-80.2074946
"The Studio Coiffures I","Cos Cob","CT","06807",41.03641,-73.60017
"Boston Market","Mckinney","TX","75069",33.216689,-96.632698
"Taste of Bhakti","New York","NY","10003",40.723776,-73.988494
"Backroom Deli","Rochester","MN","55901",44.02919,-92.47765
"Life Alive","Lowell","MA","01852",42.645084,-71.309685
"Cambodian","Berkeley","CA","94704",37.872162,-122.26708
"City Chef Catering - Weddings - Corporate - Social","Miami Gardens","FL","33169",NA,NA
"Red Curry","Alexandria","VA","22314",38.8041439,-77.0403888
"Papas Pizza To Go","Corryton","TN","37721",36.175114,-83.80265
"Soldiers Daughter - Closed","Arnold","CA","95223",38.254658,-120.35374
"Loving Hut","Portland","OR","97205",45.52,-122.69
"Master Pizza","Livingston","NJ","07039",40.794256,-74.339414
"Fazoli's","Lakeland","FL","33803",28.01379,-81.957184
"Tsunami Nacho Truck","Fort Bragg","CA","95437",39.432594,-123.8015
"Pioneer Party Store","Custer","MI","49405",NA,NA
"Taco John's Fairfield Ia - Hours Reviews & More","Fairfield","IA","52556",41.006512,-91.972115
"Mn Restaurant","Baudette","MN","56623",NA,NA
"Tastebudz Catering Takeout & Takehome","Tallahassee","FL","32308",30.487769,-84.237784
"Fox's Pizza Den","Emporium","PA","15834",41.51158,-78.236496
"Braum's Ice Cream & Dairy Stores","St Petersburg","FL","33702",NA,NA
"Boston's Gourmet Pizza","Grand Forks","ND","58201",47.889516,-97.075117
"Domino's Pizza","Hattiesburg","MS","39402",31.321438,-89.38336
"Max & Erma's","Cincinnati","OH","45236",NA,-84.4112184
"Tubby's Grilled Submarines","Plymouth","MI","48170",42.358898,-83.462407
"Johnny's Pizza","Conyers","GA","30013",33.626164,-83.977192
"Pizza Pro","Ozark","AL","36360",31.458706,-85.627054
"Doaba Deli","Manhattan","NY","10025",NA,NA
"Chapati","Northfield","MN","55057",44.45775,-93.15933
"Chef Brads Fireside - Closed","Plymouth","VT","05056",43.53019,-72.73833
"Benaka Indian Cuisine","Irving","TX","75062",32.84556,-96.95073
"Zamboni Deli","Roy","UT","84067",41.1750005,-112.0258373
"Papa Joe's Pepperoni Cafe","Erie","PA","16506",42.08015637,-80.16064865
"Fazoli's","Paducah","KY","42001",NA,NA
"Pizza Factory","Oak Harbor","WA","98277",48.325886,-122.66655
"Planet Smoothie","Alpharetta","GA","30022",34.021749,-84.271852
"Mountain Mike's Pizza","Los Banos","CA","93635",NA,NA
"Sonny's Bar-b-q","Statesboro","GA","30458",32.409438,-81.77611
"David Josephs Catering","New York","NY","10001",NA,NA
"Western Sizzlin","Nashville","AR","71852",33.921127,-93.8591
"New Bhimas","Artesia","CA","90701",33.860573,-118.08159
"Pizza Ranch","Oakes","ND","58474",46.13879,-98.091807
"Flying Biscuit Midtown","Atlanta","GA","30309",33.781971,-84.38022
"Ces & Judy's Catering At  Le Chateau","St. Louis","MO","63131",NA,NA
"Biaggi's Ristorante Italiano","Madison","WI","53717",NA,NA
"Vons Dough Shack-calzones","W Lafayette","IN","47906",NA,NA
"Abuelo's Mexican Food Embassy - Closed","Maumee","OH","43537",41.579407,-83.69358
"Fazoli's","Casselberry","FL","32707",NA,NA
"Sai India Curry","Las Vegas","NV","89119",36.0989418,-115.1368275
"Mark's Mountain Bbq","Campton","KY","41301",NA,NA
"Lemonade","Manhattan Beach","CA","90266",33.885937,-118.40804
"Pizza Restaurant Bechtelsville","Bechtelsville","PA","19505",NA,NA
"Foo Wah Seafood Restaurant","Brooklyn","NY","11204",40.613813,-73.981559
"Mill Hollow Cafe","Luzerne","PA","18709",41.28311,-75.89318
"Palm Harbor Natural Foods","Palm Harbor","FL","34684",NA,NA
"Snappy Tomato Pizza Co","Hope","IN","47246",NA,NA
"Logan's Roadhouse","Mount Juliet","TN","37122",36.176748,-86.511497
"Buca Di Beppo","Mesquite","TX","75150",32.808887,-96.6269
"Wine Guy Wine Shop - Pickerington","Pickerington","OH","43147",39.919439,-82.780664
"Pavitra","S Richmond Hill","NY","11419",40.691595,-73.811686
"Mad Greens","Westminster","CO","80234",39.91407,-104.99717
"Corner Bakery Cafe","Horsham","PA","19044",40.15891,-75.1437
"Fast N Fresh","University Park","FL","34201",27.392363,-82.45274
"Phad Thai Restaurant","Silverdale","WA","98383",47.65697,-122.686674
"Longhorn Steakhouse","Huntersville","NC","28078",35.4394949,-80.8443805
"Hoana Graphic Arts and Prtg","Troy","MT","59935",48.455328,-115.890011
"Moloaa Sunrise Fruit Stand","Anahola","HI","96703",22.05728,-159.54657
"Orange and Olive Caterers","","NJ","07307",NA,NA
"Fox's Pizza Den","Las Vegas","NV","89118",36.091777,-115.207252
"Valentinos Italian Caf","Kerrville","TX","78028",30.053864,-99.135363
"Wok N Talk","Jamaica Plain","MA","02130",42.3315406,-71.1118961
"15.quince Grill & Cantina","Cottonwood","AZ","86326",34.725169,-112.006554
"Braum's Ice Cream & Dairy Stores","Waxahachie","TX","75165",32.3841903,-96.8501003
"Fusco's Via Roma","Acworth","GA","30101",34.06572282,-84.67719125
"Burritoville","New York","NY","10011",40.745073,-73.99767
"Big Fish Family Restaurant","Panguitch","UT","84759",37.81256,-112.43565
"Naked City Taphouse - Greenwood/phinney - Seattle","Seattle","WA","98103",47.691812,-122.355103
"","Burlington","IA","52601",40.80884,-91.10429
"Portneuf Grille Lounge","Lava Hot Springs","ID","83246",42.61984,-112.00911
"The Post East","Nashville","TN","37206",36.17331328,-86.73978343
"Yogoya","Timonium","MD","21093",39.43805738,-76.6255939
"Sonny's Real Pit Bar-b-q","Austell","GA","30106",NA,NA
"Penn Station East Coast Subs","Cincinnati","OH","45242",NA,-84.3864818
"Acapulco","Beckley","WV","25801",37.811435,-81.183374
"Monical's Pizza","Avon","IN","46123",NA,NA
"Deepsha Enterprises Inc","Fort Lauderdale","FL","33351",26.189338,-80.285603
"Almaza","Los Angeles","CA","90034",34.029462,-118.389053
"Bucks Pizza","Bastrop","TX","78602",30.2126334,-97.1110239
"Villa Pizza","Jeffersonville","OH","43128",39.620426,-83.60348
"Tonino's Pizza","E Stroudsburg","PA","18301",NA,NA
"Chandelier Meditaranean Restaurant - Closed","Henderson","NV","89052",36.00542,-115.11783
"Portabella","Amherst","MA","01002",42.372906,-72.50178
"China King Restaurant","Houston","TX","77070",29.936797,-95.578486
"Jamba Juice","Fresno","CA","93727",36.73703,-119.700653
"Lovin' Oven","Frenchtown","NJ","08825",40.52271,-75.06216
"Domino's Pizza","Florence","MS","39073",32.165455,-90.13049
"Buca Di Beppo - Closed","Mesquite","TX","75150",32.808887,-96.6269
"Bilotti's Italian Village","Rochester","MN","55902",44.020254,-92.464227
"India's Kitchen","Medford","OR","97504",42.31473,-122.81599
"Neelam's","Seattle","WA","98103",47.69174,-122.3553
"Quizno's - Northwest Dallas/love Field - Dallas","Dallas","TX","75235",32.822741,-96.857315
"Taco John's","Willmar","MN","56201",45.120684,-95.054113
"V & M Pizza Town","Brooklyn","NY","11217",40.6803966,-73.9777637
"The Pita Pit","Mammoth Lakes","CA","93546",37.65077,-118.98492
"Smoothie King","Sarasota","FL","34231",27.258724,-82.524692
"Rubio's Fresh Mexican Grill","Lagunaniguel","CA","92677",33.570445,-117.713696
"Beautifull!","Sanfrancisco","CA","94118",37.786836,-122.450135
"Real Raw Live","Hollywood","CA","90028",34.105503,-118.318624
"The Nosh of Beverly Hills","Beverlyhills","CA","90210",34.068798,-118.407294
"Greenview Thai","Losangeles","CA","90025",34.041762,-118.459527
"M Cafe De Chaya","Beverlyhills","CA","90210",34.070254,-118.401634
"Wharo Korean Bbq","Marinadelrey","CA","90292",33.989632,-118.447194
"Urth Caffe","Santamonica","CA","90405",34.004337,-118.485817
"Native Foods","Costamesa","CA","92626",33.67745,-117.886985
"It's Thai","Santamonica","CA","90026",34.089383,-118.259289
"Susan M. Kallal, Md","Losangeles","CA","90024",34.058957,-118.444833
"Bonefish Grill","Madison","MS","39110",32.467245,-90.147961
"Food Rite","Dyer","TN","38330",36.059785,-88.987355
"The Natural Cafe","Westlakevillage","CA","91361",34.15333,-118.828076
"Bollywood Indian Restaurant 3","Westlakevillage","CA","91361",34.154951,-118.831343
"Naked Cafe","Solanabeach","CA","92075",32.991392,-117.272758
"City Grill & Spirits","Brea","CA","92821",33.917356,-117.900489
"Borough","Raleigh","NC","27601",35.779435,-78.644006
"Cafe Tu Tu Tango At Orange","Orange","CA","92868",33.782984,-117.893462
"King & I","Cary","NC","27513",35.802546,-78.769729
"Aladdin's Eatery","Raleigh","NC","27615",35.869229,-78.622517
"Morocco's Restaurant","Mountainview","CA","94041",37.386596,-122.083242
"Colfax Max","Colfax","CA","95713",39.093595,-120.951912
"Sprouts Cafe","Southlaketahoe","CA","96150",38.942212,-119.977325
"Vito's New York Trattoria","Sanjose","CA","95110",37.366056,-121.915144
"Blue Mango","Sanjose","CA","95129",37.322913,-121.990691
"Loving Hut","Sanjose","CA","95123",37.252474,-121.861289
"Grover Grind","Groverbeach","CA","93433",35.121617,-120.627853
"Cafe Crepes","Bakersfield","CA","93301",35.373397,-119.013886
"Village Inn","Vacaville","CA","95688",38.348064,-121.996854
"Backstage Pub & Grill","Schenectady","NY","12305",42.81107,-73.941829
"Treebones Resort","Bigsur","CA","93920",35.883769,-121.455831
"Loving Hut","Elkgrove","CA","95758",38.413792,-121.470949
"Ubuntu Napa","Napa","CA","94559",38.30036,-122.286293
"Solano Dermatology","Vallejo","CA","94590",38.123751,-122.263517
"Pasand Restaurant","Santaclara","CA","95051",37.353989,-121.997806
"Andy Nguyen's","Sacramento","CA","95818",38.560229,-121.486689
"Emma's Tamales","Sacramento","CA","95824",38.511069,-121.408689
"Passaretti's Italian Restaurant & Catering","Southlaketahoe","CA","96150",38.90786,-120.000635
"Chef's Market Cafe & Take Away","Goodlettsville","TN","37072",36.321117,-86.702321
"Grins","Nashville","TN","37212",36.14481,-86.806455
"Cafe Rakka","Hendersonville","TN","37075",36.3058,-86.634924
"Rainbow Springs","Birmingham","AL","35205",33.499949,-86.797315
"Green Hills Foot Care Ctr","Nashville","TN","37215",36.102537,-86.818739
"Baoding","Charlotte","NC","28210",35.147361,-80.833041
"Namaste India","Charlotte","NC","28205",35.194894,-80.767443
"Darst Dermatology","Monroe","NC","28110",35.024411,-80.578208
"Victoria Restaurant","New York","NY","10022",40.757803,-73.966051
"Johnny's Pizza","Jasper","GA","30143",NA,NA
"Tcby","Jackson","MI","49202",42.259243,-84.42829
"Dragon China On Third","Brooklyn","NY","11209",40.62806,-74.029181
"Islands","Laguna Hills","CA","92653",33.608821,-117.700938
"Smoothie King","Pompano Beach","FL","33063",26.244589,-80.190947
"T.g.i. Friday's","Franklin","TN","37067",35.947024,-86.822318
"Lynne's Garden of Eat'n","Mammoth Lakes","CA","93546",37.637547,-118.96687
"","Milwaukee","WI","53211",43.08912,-87.894966
"Schlotzsky's","Duluth","MN","55802",46.784942,-92.100708
"Lone Star Steakhouse & Saloon","Langhorne","PA","19047",40.1788542,-74.8798554
"Wrigleyville's Double Rainbow Ice Cream Shoppe","Chicago","IL","60613",NA,NA
"Bangels Indian Cuisine","Downingtown","PA","19335",40.01592,-75.68563
"Blue Plate","Chicago","IL","60607",NA,NA
"Jamba Juice","Chicago","IL","60601",NA,NA
"Wild Roots","Pensacola Beach","FL","32561",NA,NA
"Fox's Pizza Den","Weston","WV","26452",39.008748,-80.393953
"Cool Cafe","Stanford","CA","94305",37.43298,-122.17049
"Wild Roots","Pensacola Beach","FL","32561",NA,NA
"Cafe Ala Carte","Eugene","OR","97402",NA,NA
"Planet Smoothie","Charleston","SC","29412",32.716984,-79.967619
"Lone Star Steakhouse & Saloon","Dayton","OH","45449",NA,-84.221048
"Burger Me","Truckee","CA","96161",39.32544,-120.19127
"Burtons Grill","Mount Pleasant","SC","29464",32.830757,-79.83085
"Wild Bean Cafe","Orlando","FL","32825",28.629306,-81.462096
"Cai's Dim Sum Teahouse","Brattleboro","VT","05301",42.8514562,-72.59627366
"Thai Sapa","Springdale","UT","84767",37.19821,-112.991356
"Chang Thai","Clemmons","NC","27012",36.017944,-80.40941
"Russell's Steaks, Chops, and More","Williamsville","NY","14221",42.951155,-78.696906
"Wings To Go","Las Vegas","NV","89117",36.158926,-115.291415
"Bear Foods Natural Foods Market Cafe Creperie","Chelan","WA","98816",47.83994,-120.018196
"Michelina's Italian Eatery","Rochester","NY","14623",43.097958,-77.63102
"Logan's Roadhouse","Reynoldsburg","OH","43068",NA,NA
"Mr Gatti's Pizza","Spartanburg","SC","29303",34.9703,-81.9296
"Asalah Moroccan Restaurant - Closed","Harrisburg","PA","17102",40.26792,-76.88767
